Date,Open,High,Low,Close,Volume
22-10-2020,136.4312901,136.7243486,135.2935794,135.3625336,12664900
23-10-2020,135.1556706,136.3623486,135.1039583,136.1899567,8783800
26-10-2020,137.2243104,137.9224534,137.0519184,137.457016,7227300
27-10-2020,138.1034253,138.5085228,137.8189942,138.3792419,6062300
28-10-2020,139.0945876,139.1635418,138.0775303,138.5084839,11765800
29-10-2020,138.53437,138.620566,136.5864641,137.1639404,11932400
30-10-2020,137.0691072,137.3449238,135.81073,135.81073,13095400
02-11-2020,136.9315692,137.354362,136.6123252,136.8280334,10810500
03-11-2020,136.19812,136.3102793,135.4992146,136.0341797,16228700
04-11-2020,139.4682457,139.9255459,138.5191247,138.9850616,21570800
05-11-2020,139.4682767,139.5545652,138.5536761,139.2266846,18537500
06-11-2020,137.725377,137.9842295,137.138657,137.5441895,12408400
09-11-2020,134.5760805,134.7313841,133.4198873,134.6537323,23245000
10-11-2020,133.7045571,134.4379569,133.5492403,133.877121,12561000
11-11-2020,133.7563559,134.5501606,133.7132116,134.3603363,5888200
12-11-2020,135.4130058,136.6727345,135.2145579,136.6468506,15999700
13-11-2020,136.6382317,136.7590278,136.2499595,136.4656677,7344600
16-11-2020,136.0945816,136.5691421,135.9910459,136.1377258,6310400
17-11-2020,136.9919665,137.3284707,136.8366497,137.026474,7444600
18-11-2020,137.5700809,137.6822534,136.6295962,137.4234009,10333300
19-11-2020,138.0273084,138.6744328,137.915136,138.1308441,10637200
20-11-2020,138.5105676,139.3820241,138.3897715,139.3561401,7246800
23-11-2020,138.7607193,138.9073993,138.2947824,138.7175751,11300000
24-11-2020,138.0445957,138.0704796,137.1990103,137.3370667,10891700
25-11-2020,137.406143,137.9756159,136.862554,136.9143219,9145800
26-11-2020,137.406143,137.9756159,136.862554,136.9143219,0
27-11-2020,137.716744,138.2862168,137.69086,138.2430725,4708200
30-11-2020,138.0791039,138.5105202,137.8461354,138.0704803,13071600
01-12-2020,136.9417066,137.1058142,135.3265543,136.0348053,13662800
02-12-2020,135.4991753,135.5423503,134.2899703,134.9550323,12114300
03-12-2020,135.5510714,136.3111427,135.2401343,136.0433807,9626500
04-12-2020,134.4714571,134.5578205,133.6768428,134.048233,12734500
07-12-2020,135.0414724,135.499239,134.8946296,135.2574005,9316100
08-12-2020,136.0952241,136.5270805,135.7756414,135.8965607,7397200
09-12-2020,135.2142578,135.8793204,134.7478455,135.447464,7750100
10-12-2020,135.8101471,136.7170346,135.4560218,136.6479492,10025100
11-12-2020,137.0279526,137.6671045,136.7429392,137.1316071,8135900
14-12-2020,136.0261324,137.0625851,135.6979173,136.7516479,7535900
15-12-2020,136.2766216,136.803487,135.8706755,136.2938995,6847500
